Comment,Designator,Footprint,LCSC Part
20pF,C100,402,C1554
20pF,C200,402,C1554
4.7uF,C300,402,C23733
4.7uF,C400,402,C23733
0.1uF,C500,402,C1525
0.1uF,C600,402,C1525
1uF,C700,402,C52923
Red,D100,LED_0603,C2286
Green,D200,LED_0603,C72043
330R,R100,402,C25104
51k,R200,402,C25794
1k,R300,402,C11702
10k,R400,402,C25744
10k,R500,402,C25744
10k,R600,402,C25744
330R,R700,402,C25104
DS3231,U100,SOIC-8_3.9x4.9x1.27P,C107410
ATMEGA328P,U200,TQFP-32_7.0x7.0x0.8P,C14877
MCP73831,U300,SOT-23-5,C424093
BL1551,U400,SOT-363,C82528
8Mhz,Y100,SMD-5032_2P,C115962
20pF,C110,402,C1554
20pF,C210,402,C1554
4.7uF,C310,402,C23733
4.7uF,C410,402,C23733
0.1uF,C510,402,C1525
0.1uF,C610,402,C1525
1uF,C710,402,C52923
Red,D110,LED_0603,C2286
Green,D210,LED_0603,C72043
330R,R110,402,C25104
51k,R210,402,C25794
1k,R310,402,C11702
10k,R410,402,C25744
10k,R510,402,C25744
10k,R610,402,C25744
330R,R710,402,C25104
DS3231,U110,SOIC-8_3.9x4.9x1.27P,C107410
ATMEGA328P,U210,TQFP-32_7.0x7.0x0.8P,C14877
MCP73831,U310,SOT-23-5,C424093
BL1551,U410,SOT-363,C82528
8Mhz,Y110,SMD-5032_2P,C115962
